Category
"BABY FOOD HEALTH FOOD DRINKS"
"BATH SOAPS LIQ SOAP HAND WASH"
"BISCUITS AND BAKERY PRODUCTS"
"CFL / LED BULB"
"CHOCOLATES N CONFECTIONERY"
"CLEANING MATERIAL"
"COLD/FRUIT DRINKS AND WATER"
COSMETICS
"DAIRY AND FROZEN FOODS"
Default_Value
"DEO.PRAFUM / SPRAY"
"DRY FRUITS"
"FRUIT AND VEGETABLE"
GROCERY
GULAL
"HAIR CARE"
"INSECTI AND MOSQUETO"
"INSTANT FOOD/READY TO EAT"
JAMS/KETCHUPS/SAUCE/JELLY
"MISC./OTHER NON-FOOD"
"MISCELLANEOUS PRODUCT"
"NAMKEENS/ WAFERS/MITHAI/CHIKKI"
OIL/GHEE/VANASPATI
"ORAL/DENTAL CARE"
"PARTY ITEM / BRITHDAY ITEM"
"POOJA ITEMS"
"SANITARY NAPKINS AND DIAPERS"
"SHAVING AIDS"
"SPICES N MASALAS"
"SUGAR N SALT"
"TALCUM POWDER/DEODRANT"
"TEA N COFFEE"
"UPWAS PRODUCTS"
"WASHING SOAP AND DETERGENTS"
